id,name,latitude,longitude,elevation
115460,C. BUDEJOVICE-ROZNOV,48.950,14.467,396.4
117230,BRNO TURANY,49.151,16.694,237.1
117740,ZLIN HOLESOV,49.317,17.567,224.0
116360,JIHLAVA KOSTELNI MYSLOVA,49.167,15.433,572.4
117100,OLOMOUC LUKA,49.650,16.950,515.6
117820,OSTRAVA MOSNOV,49.696,18.111,257.3
114500,PLZEN-MIKULKA,49.767,13.383,371.5
116520,PARDUBICE,50.013,15.739,225.9
115200,PRAHA LIBUS,50.000,14.450,303.7
114140,KARLOVY VARY,50.203,12.915,606.2
115020,USTI NAD LABEM,50.683,14.033,378.6
116030,LIBEREC,50.767,15.017,401.5
